recid,cattleClasss
1,Cow (2 years and over)
2,Breeder Bulls (2 years and above)
3,Heifers (1-2 years)
4,Heifer Calf (<6 months)
5,Bull Calf (<6 months)
6,Steer (1 - 2 years)
