recid,sheepclassdesc
1,Ewes (2 years and over)
2,Rams (2 years and over)
3,Female Hoggets (1-2 years)
4,Male Hoggets (1-2 years)
5,Lamb Female (< 1 year)
6,Lamb Male (< 1 year)
