villageid,villagename,acid
309020,Lebujubujuvet,309
309021,Lebwa,309
309022,Lebwibwi,309
309023,Leguru,309
309024,Lekaro,309
309025,Lekul,309
309026,Lelda,309
309027,Lelislis,309
309028,Lemaba,309
309029,Lemalda,309
309030,Lemalmal,309
309031,Lemaviko,309
309032,Lemiligi,309
309033,Lenbok,309
309034,Lengali,309
309035,Lense,309
309036,Lenwaki,309
309037,Lenwakmul,309
309038,Leodova,309
309039,Leranbutsuketap,309
309040,Lerankaro,309
309041,Lerasangul,309
309042,Lerukruk,309
309043,Lesasa Nadam,309
309044,Lesasa Namal,309
309045,Lesasanadam,309
309046,Lesubelakan,309
309047,Levatkainmel,309
309048,Levetlis,309
309049,Levetnanbul,309
309050,Levini,309
309051,Levuk,309
309052,Lewabwarangmet,309
309053,Lewawa,309
309054,Libukuvini,309
309055,Lijukunkasi,309
309056,Likasak,309
309057,Livetnanbal,309
309058,Livitsitan,309
309059,Lonfis,309
309060,Madas,309
309061,Mangarep,309
309062,Maurep,309
309063,Mbwil,309
309064,Melsisi,309
309065,Metaruk,309
309066,Nokonbok,309
309067,Nokonbwa,309
309068,Nokondavi,309
309069,Nokonkaop,309
309070,Nokonvel,309
309071,Nokonwanet,309
309072,Nokonwawos,309
309073,Nokoul,309
309074,Nuwuk,309
309075,Onlapa,309
309076,Palimarbing,309
309077,Ranliawar,309
309078,Saavat,309
309079,Salaba,309
309080,Salevakal,309
309081,Salwol,309
309082,Saot,309
309083,Sarinlang,309
309084,Tankarang,309
309085,Tansip,309
309086,Taraibe,309
309087,Tole,309
309088,Tongwe,309
309089,Tsinbwege,309
309090,Urewerep,309
309091,Vaiwos,309
309092,Vanbak,309
309093,Vanbanamel,309
309094,Vanbwarus,309
309095,Vanguru,309
309096,Vanis,309
309097,Vanmelang,309
309098,Vanraba,309
309099,Vanrasini,309
309100,Vansasa,309
309101,Vansede,309
309102,Vansemwakul,309
309103,Vanu,309
309104,Vanuakam,309
309105,Vanwaknasimo,309
309106,Varabwa,309
309107,Variwirip,309
309108,Vawoor,309
309109,Vetroworok,309
309110,Wading,309
309111,Wadomaba,309
309112,Wadungmwaba,309
309113,Waiwos,309
309114,Wodung,309
309115,Wumeram,309
999930,Other Village,309
310001,Baie Barrier,310
310002,Banmatmat,310
310003,Baravet (Pentecost),310
310004,Bilaot,310
310005,Bunlap,310
310006,Bwilaut,310
310007,Harop,310
310009,Hot Wota,310
310010,Lalbung,310
310011,Lalwori,310
310012,Lare,310
310013,Larouk,310
310014,Lasalako,310
310015,Lebus,310
310016,Levisendam,310
310017,Liav,310
310018,Liavsumbhese,310
310019,Lolle,310
310020,Lonapin,310
310021,Lonbwe (Pentecost),310
310022,Londar,310
310023,Lonese,310
310024,Longbwe,310
310025,Longelesul,310
310026,Longwe,310
310027,Lonisis,310
310028,Lonlia,310
310029,Lonlibwe,310
310030,Lonorore,310
310031,Lonov,310
310032,Lonwabet,310
310033,Lowao,310
310034,Moruvak,310
310035,Nevor,310
310036,Olmoh,310
310037,Panap,310
310038,Panas,310
310039,Panbanglap,310
310040,Pangi,310
310041,Panlimse,310
310042,Pannas,310
310043,Pantor,310
310044,Point Cross,310
310045,Ponov,310
310046,Ponra,310
310047,Powruru,310
310048,Rabsunmel,310
310049,Ramwawat,310
310050,Rangusuksuk,310
310051,Ranliae,310
310052,Ranliaie,310
310053,Ranmarah,310
310054,Ranmawat,310
310055,Ranputor,310
310056,Ranru,310
310057,Ranwadi,310
310058,Ranwas,310
310059,Ravang,310
310060,Rowok,310
310061,Sanmara,310
310062,Sawalaba,310
310063,St Joseph (Pentecost),310
310064,Tanmele,310
310065,Vanaia,310
310066,Vanvat,310
310067,Vanwoki,310
310068,Varsare,310
310069,Vatsare,310
310070,Vetlul,310
310071,Waet Wota,310
310072,Wali,310
310073,Wanur,310
999931,Other Village,310
401001,Albatei,401
401002,Alemtu,401
401003,Alkakau,401
401004,Alnawirir,401
401005,Alnivert,401
401006,Anuatakh,401
401007,Bonenaveth,401
401008,Botolvo,401
401010,Brenwei,401
401011,Bur,401
401012,Clear River,401
401013,Elnisi,401
401014,Espiegle Bay,401
401015,Lawesinwe,401
401016,Lekan,401
401017,Leken,401
401018,Lerongrong,401
401019,Lesarnalas,401
401020,Letephuei,401
401021,Leviam 1,401
401022,Leviam 2,401
401023,Livet,401
401024,Malua Bay,401
401025,Matanvath,401
401026,Mbenenavet,401
401027,Metkhun,401
401028,Molin,401
401029,Nambar,401
401030,Navtar,401
401031,Nawimalet,401
401032,Olam,401
401033,Oroni,401
401034,Pao,401
401035,Pepeksat,401
401036,Petengar,401
401037,Petmaur,401
401038,Pikaer,401
401039,Pinawae,401
401040,Pur,401
401041,Rambek,401
401042,Sebughas,401
401043,Tanmalilip,401
401044,Tanmial (Malekula),401
401045,Tenmaru,401
401046,Tniu,401
401047,Tontar,401
401048,Tontarasak,401
401049,Travol,401
401050,Tulwei,401
401051,Unmakh,401
401052,Unmet,401
401053,Unvar,401
401054,Uptapep,401
401055,Uri,401
401056,Wiaru,401
401057,Wiawi,401
401058,Wiel,401
401059,Wiliekh,401
401060,Wimandu,401
401061,Win,401
401062,Womul,401
401063,Wornambek,401
401064,Wowo,401
999932,Other Village,401
402001,Alavas,402
402002,Amelvet,402
402003,Anap,402
402004,Betehul,402
402005,Beterihi,402
402006,Bethel (Malekula),402
402007,Botovoro,402
402008,Chemelvenior,402
402009,Eripos,402
402011,Galili,402
402012,Hirang,402
402013,Hone,402
402014,Ili,402
402015,Jerico,402
402016,Jerusalem,402
402017,Labetbak,402
402018,Labung,402
402019,Lahabar,402
402020,Lamarahab,402
402021,Lanigebog,402
402022,Larur,402
402023,Lasarav,402
402024,Lavalsal,402
402025,Lavame,402
402026,Lavor,402
402027,Lei,402
402028,Lejernavun,402
402029,Lembetiar,402
402030,Lepinmas,402
402031,Lesarasom,402
402032,Lesekere,402
402033,Lolomal,402
402034,Lopri,402
402035,Lorelivo,402
402036,Lourde,402
402037,Meleb,402
402038,Melerere,402
402039,Melmarur,402
402040,Melnamol,402
402041,Melnator,402
402042,Melnatoro,402
402043,Melsingnow,402
402044,Naos,402
402045,Norowre,402
402046,Omale,402
402047,Orap,402
402048,Paita,402
402049,Paradise,402
402050,Peker,402
402051,Penut,402
402052,Petere,402
402053,Peterpu,402
402054,Petervat,402
402055,Pinalum,402
402056,Potco,402
402057,Poton,402
402058,Potora,402
402059,Potowar,402
402060,Preng,402
402061,Pura,402
402062,Ramaso,402
402063,Roma,402
402064,Rory,402
402065,Rosbay,402
402066,Sadere,402
402067,Saint Joseph,402
402068,Salenhtor,402
402069,Santar,402
402070,Sanwir,402
402071,Sarepta,402
402072,Sauci,402
402073,Senesareth,402
402074,Serser,402
402075,Sigon,402
402076,Sinai,402
402077,Sisle,402
402078,St Joseph (Malekula),402
402079,Tabih,402
402080,Tchinarmare,402
402081,Tepune,402
402082,Teupeer,402
402083,Teupeev,402
402084,Tisnemtenwo,402
402085,Tokvanu,402
402086,Topet,402
402087,Tsidavo,402
402088,Tsinabon,402
402089,Tsinasets,402
402090,Tsinembis,402
402091,Tsinetra,402
402092,Tsinowone,402
402093,Twokori,402
402094,Venu,402
402095,Veturah,402
402096,Wala Main Land,402
402097,Wolomsek,402
402098,Worari,402
402099,Worlep,402
402100,Wormet,402
402101,Wornari,402
402102,Woromlaki,402
402103,Wortatsa,402
402104,Wrong,402
999933,Other Village,402
403001,Aim,403
403002,Amelaten,403
403003,Ameli,403
403004,Atan,403
403005,Bakor,403
403006,Baree,403
403007,Barick,403
403008,Betuwal,403
403009,Big Tautu,403
403010,Bushman'S Bay,403
403012,Filmbil,403
403013,Freddy'S Community,403
403014,George'S Community,403
403015,Ginonarong,403
403016,Hatbol,403
403017,Himorol,403
403018,Jemes,403
403019,Kona Point,403
403020,Lakatoro,403
403021,Lalep,403
403022,Lalkofe,403
403023,Lambubu,403
403024,Larevet,403
403025,Lendo,403
403026,Letevtev,403
403027,Limap,403
403028,Lingarakh,403
403029,Litslits,403
403030,Louni,403
403031,Mae,403
403032,Marybel,403
403033,Metitar,403
403034,Namba Wan,403
403035,Namburakai,403
403036,Norsup,403
403037,Potindir,403
403038,Potnambe,403
403039,Potun,403
403040,Rue Bakof,403
403041,Sarmette,403
403042,Selektasimal,403
403043,Selelurai,403
403044,Selenamboro,403
403045,Senal,403
403046,Sirbubul,403
403047,Small Tautu,403
403048,Sopon,403
403049,Tande,403
403050,Tenmiel,403
403051,Tevri,403
403052,Tisvel,403
403053,Tsele,403
403054,Vartafo,403
403055,Vetan,403
403056,Vilavi,403
403057,Vinmavis,403
999934,Other Village,403
404001,Beneur,404
404002,Bonvor,404
404003,Dixon Reef,404
404004,Enimb,404
404005,Gami,404
404006,Labo,404
404007,Labulwol,404
404008,Lamango,404
404009,Lamlo,404
404010,Larambus,404
404011,Lawa,404
404013,Lembinwen,404
404014,Letokas,404
404015,Letokhas,404
404016,Leungaihor,404
404017,Lorlow,404
404018,Lu'Umow,404
404019,Mahafo,404
404020,Malvakal,404
404021,Mbwatbang,404
404022,Melgen,404
404023,Melip,404
404024,Melken,404
404025,Ohiveu,404
404026,Rejar,404
404027,Tavendrua,404
404028,Toman,404
404029,Vanafus,404
404030,Veingbongbong,404
404031,Venamboas,404
404032,Vorburi,404
404033,Vunaiamp,404
404034,Wintua,404
404035,Witava,404
404036,Worles,404
999935,Other Village,404
405001,Aktep,405
405002,Aout Veil,405
405003,Assen,405
405004,Asuruhk,405
405005,Asurukh,405
405006,Aulua,405
405007,Autof,405
405008,Banam Bay,405
405009,Barmadrin,405
405010,Batambong,405
405011,Batambu,405
405012,Batekfaev,405
405013,Blacksands (Malekula),405
405014,Burbar,405
405015,Danperper,405
405016,Fartavo,405
405017,Hemerdabos,405
405018,Hemertabos,405
405019,Himir Mbuir,405
405020,Lambulmbatuei,405
405021,Lanfitfit,405
405022,Levetbao,405
405023,Mbangir,405
405024,Mbatambong,405
405025,Mbatambu,405
405026,Mboton,405
405027,Mbwitin,405
405028,Metenua,405
405029,Nambagura,405
405030,Nduen,405
405031,Neramb,405
405032,Novor,405
405033,Pandeur,405
405034,Penamur,405
405035,Rapaksivir,405
405036,Rembe,405
405037,Remep,405
405038,Rensarie,405
405039,Repanvaun,405
405040,Reparsivir,405
405041,Rerep,405
405042,Retchar,405
405043,Retur,405
405044,Ronevier,405
405045,Ruhumbo,405
405046,Taremb,405
405047,Taremb Kiki,405
405048,Tembibi,405
405049,Tisman,405
405050,Town Hall,405
405051,Uduen,405
405052,Varak,405
405053,Vengasis,405
405054,Weso,405
999936,Other Village,405
406001,Areuv,406
406002,Avock,406
406003,Barias,406
406004,Barmandrin,406
406005,Dravai,406
406006,Faru,406
406007,Farun,406
406008,Haikor,406
406009,Hokai,406
406010,Khoti,406
406011,Lamap,406
406012,Lampu,406
406013,Lembu,406
406014,Lesesa,406
406015,Livghos,406
406016,Londrameon,406
406017,Louru,406
406018,Lovrow,406
406019,Lutes,406
406020,Marbaho,406
406021,Marpagho,406
406022,Melward,406
406023,Merivar,406
406024,Naraniem,406
406025,Nivoku,406
406026,Pellonk,406
406027,Penap,406
406028,Penbaghur,406
406029,Penesies,406
406030,Peskarus,406
406031,Port Sandwich,406
406032,Rambuan,406
406033,Ravuren,406
406034,Repanias,406
406035,Urkeke,406
406036,Vanmai,406
999937,Other Village,406
407001,Behaltalam,407
407002,Bogor,407
407003,Envere,407
407004,Falibour,407
407005,Fanla,407
407006,Fanrereo,407
407007,Fansar,407
407008,Fantan,407
407009,Fantcheveur,407
407010,Farabour,407
407011,Faramenmenkonkon,407
407012,Faramsu,407
407013,Faraptawonwon,407
407014,Farapupol,407
407015,Fareavau,407
407016,Fatima,407
407017,Fatongtong,407
407018,Fona,407
407019,Fonmur,407
407020,Fonteng,407
407021,Hahomlam,407
407022,Halhal Taworo,407
407023,Harimal,407
407024,Konkon,407
407025,Laniokon,407
407026,Likon,407
407027,Linbul,407
407028,Lolibwe,407
407029,Lonawa,407
407030,Lonbasil,407
407031,Lonbwe (Ambrym),407
407032,Lonlililiu,407
407033,Lonororo,407
407034,Lonre,407
407035,Lonyeokon,407
407036,Magam,407
407037,Melbwera,407
407038,Melpulpul,407
407039,Meltou,407
407040,Melvar,407
407041,Mengamone,407
407042,Metanli,407
407043,Nehatling,407
407044,Neuwa,407
407045,Nouha,407
407046,Olal,407
407047,Olao,407
407048,Parereu,407
407049,Pinbang,407
407050,Pokor,407
407051,Rabetewau,407
407052,Ranbe,407
407053,Ranbetewau,407
407054,Ranhor,407
407055,Ranmuhu,407
407056,Ranon,407
407057,Ranvergere,407
407058,Ranvetlam,407
407059,Tongbang,407
407060,Topol,407
407061,Vanjevere,407
407062,Wilit,407
407063,Wou,407
999938,Other Village,407
408001,Baiap,408
408002,Bwele,408
408003,Enmila,408
408004,Ewu,408
408005,Fali,408
408006,Graigcove/Fali,408
408007,Lalinda,408
408008,Lalinda S.D.A,408
408009,Lanver,408
408010,Lele,408
408011,Lolibulo,408
408012,Lolonwei,408
408013,Lonmei,408
408014,Malvet,408
408015,Maranata,408
408016,Melkon,408
408017,Melten,408
408018,Meltugon,408
408019,Pelipetakever,408
408020,Port Vato,408
408021,Ravolvert,408
408022,Sanesup,408
408023,Sesivi,408
408024,Sulol,408
408025,Tobol,408
408026,Tou,408
408027,Wakon,408
408028,Wuro,408
408029,Yaliviliv,408
408030,Yautilie,408
408031,Yelahae,408
408032,Yelevak,408
408033,Yelovuvu,408
408034,Yenteneleo,408
999939,Other Village,408
409001,Ase,409
409002,Barereo,409
409003,Endu Pehakul,409
409004,Endu Poal,409
409005,Etong,409
409006,Maat,409
409007,Mbareas,409
409008,Mboi,409
409009,Moru,409
409010,Pahasangat,409
409011,Pamal,409
409012,Penapo,409
409013,Renau,409
409014,Sahuot,409
409015,Sai Bethel,409
409016,Sameou,409
409017,Senai,409
409018,Taviak,409
409019,Toak,409
409020,Ulei,409
409021,Utas,409
409022,Vamaveok,409
409023,Vanen,409
409024,Vemali,409
409025,Vembaksambai,409
999940,Other Village,409
410001,Amalhatili,410
410002,Hingal,410
410003,Hollen,410
410004,Kelai,410
410005,Lakelai,410
410006,Lehili,410
410007,Liro,410
410008,Liro Nessa,410
410009,Lulep,410
410010,Luli,410
410011,Nou,410
410012,Oailep,410
410013,Tahal Nesa,410
410014,Tahal Netan,410
410015,Tahi,410
410016,Tavie,410
410017,Tavulai,410
410018,Tevali,410
410019,Tevali Aot,410
410020,Vaoleli,410
410021,Vutekai,410
410022,Zulu,410
999941,Other Village,410
501001,Alak,501
501002,Esake,501
501003,Komerana,501
501004,Lamenu Bay,501
501005,Lemaru,501
501006,Lumapiluva,501
501007,Malpasi,501
501008,Mela,501
501009,Mobarawa,501
501010,Ngalokumal,501
501011,Ngaloparua,501
501012,Ngalovasoro,501
501013,Niku,501
501014,Niu Ples,501
501015,Paia,501
501016,Pongovia,501
501017,Pulkawa,501
501018,Pulpiara,501
501019,Rovo Bay,501
501020,Silowe,501
501021,Vaemali,501
501022,Walavea,501
501023,Wenia,501
501024,Yevali,501
501025,Yopuna,501
999942,Other Village,501
502001,Anduan,502
502002,Banga,502
502003,Botndaso,502
502004,Boueboue,502
502005,Burumba,502
502006,Chumasmoe,502
502007,Coldwater,502
502008,Foreland,502
502009,Kalala,502
502010,Kausu,502
502011,Lempeto,502
502012,Mabfilau,502
502013,Mapvilao,502
502014,Masou,502
502015,Mbembe,502
502016,Mbosovanoi,502
502017,Metano,502
502018,Nambatri (Epi),502
502019,Paen,502
502020,Panga,502
502021,Pute,502
502022,Samatua,502
502023,Sara (Epi),502
502024,Taliko,502
502025,Valesdir,502
502026,Votlo,502
502027,Wambi,502
999943,Other Village,502
503001,Lepa,503
503002,Lokopuwi,503
503003,Manganua,503
503004,Manul,503
503005,Mate 1,503
503006,Mate 2,503
503007,Moriu,503
503008,Ngevin,503
503009,Nikaura,503
503010,Nivenue,503
503011,Nuvi,503
503012,P Late,503
503013,Prilmalko,503
999944,Other Village,503
504001,Amaro,504
504002,Filakara,504
504003,Lemaroro,504
504004,Lemboro,504
504005,Longlaki,504
504006,Lopalis,504
504007,Melvan,504
504008,Mematanga,504
504009,Nalema,504
504010,Nazareth (Epi),504
504011,Nul Nessa,504
504012,Oreau,504
504013,Port Quime,504
504014,Rana,504
504015,Red Stone,504
504016,Tamasina,504
504017,Taolia,504
504018,Tikelele,504
504019,Tomali,504
504020,Vatukiki,504
504021,Worarana,504
999945,Other Village,504
505001,Burao,505
505002,Euta,505
505003,Itakoma,505
505004,Kurumambe,505
505005,Lupalea,505
505006,Mangarisu,505
505007,Matangi (Tongoa),505
505008,Morua,505
505009,Pele,505
505010,Purao,505
505011,Ravenga,505
505012,Ravengakuskusu,505
505013,Woraviu,505
505014,Worfiu,505
999946,Other Village,505
506001,Bongabonga,506
506002,Erata,506
506003,Kokonak,506
506004,Kurumbat,506
506005,Lakilia,506
506006,Lewaima,506
506007,Lumbukuti,506
506008,Mbwarih,506
506009,Meriu,506
506010,Mount Zion,506
506011,Mulohol,506
506012,Nambangasale,506
506013,Panita,506
506014,Tavia,506
999947,Other Village,506
507001,Botuai,507
507002,Finonge,507
507003,Makatea,507
507004,Makatu,507
507005,Makatu Natiti,507
507006,Malakoto,507
507007,Marae,507
507008,Mbotuai,507
507009,Na'Asang,507
507010,Ngaone,507
507011,Safuti,507
507012,Sangava,507
507013,Sasake,507
507014,Siwo,507
507015,Sulua,507
507016,Tapakoro,507
507017,Tongamea,507
507018,Vaima,507
507019,Vaitini,507
999948,Other Village,507
508001,Farealapa,508
508002,Kakula,508
508003,Laonamoa,508
508004,Launamoa,508
508005,Malaliu,508
508006,Matoa,508
508007,Mere,508
508008,Nekapa,508
508009,Peliura,508
508010,Piliura,508
508011,Rewoka Namalasi,508
508012,Rewoka Napua,508
508013,Tikilasoa,508
508014,Udapua,508
508015,Unakapu,508
508016,Utanlangi,508
508017,Werearu,508
508018,Woralapa,508
508019,Worasifiu,508
508020,Worearu,508
999949,Other Village,508
509001,Lausake,509
509002,Mangarongo,509
509003,Mapua,509
509004,Marow,509
509005,Ngurua,509
509006,Wiana,509
999950,Other Village,509
510001,Bukura,510
510002,Devil'S Point,510
510003,Evergreen,510
510004,Kakola,510
510005,Lama Mountian,510
510006,Lelo,510
510007,Malafao,510
510008,Malafau,510
510009,Mangaliliu,510
510010,Mangaturua,510
510011,Maritao,510
510012,Maturu,510
510013,Meten,510
510014,Natapau,510
510015,Port Havanah,510
510016,Pukura,510
510017,Samoa Point,510
510018,Siviri,510
510019,Snake Hill,510
510020,Sunae,510
510021,Sunai,510
510022,Tamate (Klem'S Hill),510
510023,Tanoliu,510
510024,Tasiriki,510
510025,Tasiriki (Moso),510
510026,Tavaralapa,510
510027,Tukutuku,510
510028,Undine Bay,510
999951,Other Village,510
511001,Ekipe,511
511002,Emua,511
511003,Epule,511
511004,Matarisu,511
511005,Onesua,511
511006,Paonangisu,511
511007,Saama,511
511008,Takara,511
999952,Other Village,511
512001,Hideaway Island,512
512002,Mele,512
512004,Melemaat,512
512006,Severua,512
999953,Other Village,512
513001,2Nd Lagoon,513
513002,Agathis,513
513003,Bellevue,513
513004,Beverly Hills,513
513007,Ellouk,513
513008,Freswota 1,513
513009,Freswota 2,513
513010,Freswota 3,513
513011,Freswota 4,513
513012,Freswota 5,513
513013,Freswota 6,513
513014,Independence Park,513
513015,Iririki,513
513016,Joint Court,513
513018,Kokoreko,513
513019,Korman Stadium,513
513020,Le Lagoon,513
513021,Malapoa Estate,513
513022,Malapoa Whitewood,513
513023,Manples,513
513024,Monmartre,513
513025,Nambatri (Efate),513
513026,Nambatri Ellouk,513
513027,Nambatu,513
513028,Nambatu Wallis,513
513029,Namburu,513
513030,Ohlem Mataso,513
513031,Ohlen,513
513032,Ohlen Freswin,513
513033,Ohlen Nambanga,513
513035,Seaside,513
513036,Simbolo,513
513037,Smet,513
513038,Socapo,513
513040,Stade,513
513042,Switi,513
513043,Tagabe,513
513044,Tagabe Bridge,513
513045,Tasiriki (Vila),513
513046,Tebakor,513
513047,Tokyo,513
513048,Vila North,513
513049,Vila Town (Cbd),513
513050,Vmf Camp,513
999954,Other Village,513
514001,Ifira,514
514002,Nokosake,514
514003,Tamaunu,514
514004,Tokove,514
514005,Worauloa,514
999955,Other Village,514
515001,Efalefale,515
515002,Pango Esnar,515
515003,Green Cove,515
515004,Pango Ids,515
515005,Pango,515
999956,Other Village,515
516001,Bouffa,516
516002,Erakor,516
516003,Erakor Bridge,516
516004,Erakor Is.,516
516005,Erangorango,516
516006,Ernas,516
516007,Etas,516
516008,Lololima,516
516009,Montmatre,516
516010,Sirisiri,516
516011,Stella Marie,516
999957,Other Village,516
517001,Chicken City,517
517002,Club Hippique,517
517003,Emten,517
517004,Eratap,517
517005,Eratap Hafrod,517
517006,Tamanu,517
517007,Teouma Bay,517
517008,Teouma Bush,517
517009,Teouma Nttm,517
517010,Teouma Valley,517
517011,Teoumaville,517
517012,V.L.D,517
517013,White Sands,517
999958,Other Village,517
518001,Alarip,518
518002,Banana Bay,518
518003,Blue Water Island Resort,518
518004,Boukaliu,518
518005,Buraoloa,518
518006,Emetnaniu,518
518007,Enam,518
518008,Epao,518
518009,Erueti,518
518010,Eton,518
518011,Forari,518
518012,La Cressonniere,518
518013,La Mine,518
518014,Malarip,518
518015,Manuro,518
518016,Pang Pang,518
518017,Poi,518
518018,Rentabao,518
999959,Other Village,518
519001,Prima,519
519002,Waisisi (Efate),519
519003,Blacksands (Efate),519
519004,Bladiniere Estate,519
519005,Kaweriki,519
519006,Salili,519
519007,Sorovanga,519
519008,Sumalapa,519
999960,Other Village,519
601001,Ilvukalam,601
601002,Ipota,601
601003,Port Narvin,601
601004,Rantuopongil,601
601005,Raovis,601
601006,Sipiopu,601
601007,Sowki,601
601008,Towit,601
601009,Tuwit,601
601010,Unalvin,601
601011,Unavwolu,601
601012,Unpongkor,601
601013,Wargi,601
999961,Other Village,601
602001,Antioch,602
602002,Buniakup,602
602003,Ifo,602
602004,Nevsem,602
602005,Pongkil,602
602006,Pontirausak,602
602007,Pontutu,602
602008,Ponumbia,602
602009,Potlusi,602
602010,Pumari,602
602011,Rampunmougo,602
602012,Rampunrungu,602
602013,Rampunwemog,602
602014,Tamsel,602
602015,Umpon Yelogi,602
602016,Umponmopu,602
602017,Unognombi,602
602018,Unorah,602
602019,Yasauwi,602
999962,Other Village,602
603001,Ifangawe,603
603002,Ikaokao,603
603003,Imale,603
603004,Imasa,603
603005,Isavai,603
603006,Itangutu,603
999963,Other Village,603
604001,Enamel,604
604002,Enauhrat,604
604003,Eniu,604
604004,Enpek Lapen,604
604005,Enuaker,604
604006,Ethaul,604
604007,Fetukai,604
604008,Green Hill,604
604009,Hebron,604
604010,Imafen,604
604011,Imnakaip,604
604012,Ipneme,604
604013,Itonga,604
604014,Ivenkula,604
604015,Laimira,604
604016,Laketam,604
604017,Lakhalu,604
604018,Lamakawin,604
604019,Lamal,604
604020,Lamaling,604
604021,Lamanapiep,604
604022,Laotires,604
604023,Lapang Nuo,604
604024,Lapasalis,604
604025,Laupilpil,604
604026,Laur,604
604027,Laus,604
604028,Lawir,604
604029,Lawital,604
604030,Leketam,604
604031,Lenafa,604
604032,Lenoakas,604
604033,Lepuku,604
604034,Lesinan,604
604035,Lewiar,604
604036,Loknarap,604
604037,Louamel,604
604038,Louelapoma,604
604039,Louital,604
604040,Loukaolis,604
604041,Loukaramagen,604
604042,Lounakke,604
604043,Lounapaiu,604
604044,Lounapikruan,604
604045,Lounapil,604
604046,Lounasunan,604
604047,Lounatanu,604
604048,Lounibil,604
604049,Lounim Ahapen,604
604050,Lounoah,604
604051,Lowanpakel,604
604052,Lowkara Mangin,604
604053,Lownaleng,604
604054,Lownang,604
604055,Lownepina,604
999964,Other Village,604
605001,Bethel (Tanna),605
605002,Emanam,605
605003,Ienepir,605
605004,Ifa,605
605005,Ikaoras,605
605006,Ikiakis,605
605007,Ikunala,605
605008,Ikunuingen,605
605009,Ikurakus,605
605010,Ikutengteng,605
605011,Ilmanga,605
605012,Ilpanak,605
605013,Imaelone,605
605014,Imaemsine,605
605015,Imaen,605
605016,Imai,605
605017,Imanaka,605
605018,Imanam,605
605019,Imasu,605
605020,Ipai,605
605021,Irakik,605
605022,Isaaka (West Tanna),605
605023,Isangel,605
605024,Isini,605
605025,Itunga,605
605026,Iunier,605
605027,Iwahu,605
605028,Iwarao,605
605029,Katinaluluiken,605
605030,Lafna,605
605031,Lakalangia,605
605032,Lamanafa,605
605033,Lamanamilang,605
605034,Lamanian,605
605035,Lamaniu Tuan,605
605036,Lamkail,605
605037,Lamrao,605
605038,Lamthawekal,605
605039,Laninik,605
605040,Lapang Tuai,605
605041,Lapkit,605
605042,Lapnuman,605
605043,Larkam,605
605044,Laruanu,605
605045,Lekapo,605
605046,Lenagiang,605
605047,Lenakel,605
605048,Lenamir,605
605049,Lenarawia,605
605050,Lenatam,605
605051,Lenawawa,605
605052,Leneai,605
605053,Lenepir,605
605054,Lenmawut,605
605055,Lenpeukel,605
605056,Lenuvalu,605
605057,Letawaus,605
605058,Letowopam,605
605059,Loaneai,605
605060,Lomteuheakal,605
605061,Louanatom,605
605062,Louanatuan,605
605063,Louaneai,605
605064,Louaneiai,605
605065,Louealeuv,605
605066,Louiasurirau,605
605067,Louiawanen,605
605068,Louikao,605
605069,Loukahin,605
605070,Loukahwain,605
605071,Loukatai,605
605072,Loukearu,605
605073,Loukulua,605
605074,Loukweria,605
605075,Louliuliu,605
605076,Loumukmuk,605
605077,Lounampas,605
605078,Lounapikmita,605
605079,Lounapkamei,605
605080,Lounapkao,605
605081,Lounara,605
605082,Lounelapen,605
605083,Lounikawik,605
605084,Louniparu,605
605085,Lousivir,605
605086,Louteth,605
605087,Lowkas,605
605088,Lowkearu,605
605089,Lowliuliu,605
605090,Lown,605
605091,Lownap Kayoayo,605
605092,Lownapiktuan,605
605093,Lownapkamei,605
605094,Lownapkiko,605
605095,Lownara (West Tanna),605
605096,Lownik,605
605097,Lowtaliko,605
605098,Lowya,605
605099,Pangkales,605
605100,Saikariaeken,605
605101,Tapa,605
605102,Tennis,605
605103,Towaolul,605
605104,White Grass,605
605105,Yakulpow,605
605106,Yakun Aveuka,605
605107,Yanakwa,605
605108,Yanapukul,605
605109,Yankwa Netatna,605
605110,Yekunauka,605
605111,Yenaohia,605
605112,Yunaras,605
605113,Yuniar,605
605114,Yurnaip,605
605115,Yuwunier,605
999965,Other Village,605
606001,Enegam,606
606002,Iaueru,606
606003,Ikalev,606
606004,Ikapow,606
606005,Ilpeutu,606
606006,Imapusaine,606
606007,Imaru,606
606008,Iwahlan,606
606009,Iwarua,606
606010,Iwel,606
606011,Kaonameiken,606
606012,Koyarwelekiken,606
606013,Lahwenata,606
606014,Lamahnuat,606
606015,Lamalalmita,606
606016,Lamanul,606
606017,Lamanuo,606
606018,Laminaora,606
606019,Laminuha,606
606020,Lamitatal,606
606021,Lamlu,606
606022,Lamnatu,606
606023,Lamngetuan,606
606024,Lanimlelang,606
606025,Laol,606
606026,Lapang Nuying,606
606027,Latuei,606
606028,Latun,606
606029,Lawenata,606
606030,Lawmelu,606
606031,Lelualu,606
606032,Lenaken,606
606033,Lenatuan,606
606034,Lenemita,606
606035,Lenepin,606
606036,Lenpupu Nipin,606
606037,Letanu,606
606038,Letowat,606
606039,Levlik,606
606040,Louakal,606
606041,Loueao,606
606042,Louiaru,606
606043,Loukalou,606
606044,Loumapruan,606
606045,Loumetuan,606
606046,Loumia,606
606047,Lounahuan,606
606048,Lounahuru,606
606049,Lounakiamapen,606
606050,Lounakik,606
606051,Lounakura,606
606052,Lounamal,606
606053,Lounamilo,606
606054,Lounapalulua,606
